name	role	len_A	len_B	len_C	AB_iptm	AC_iptm	BC_iptm	binder_iptm_mean	binder_iptm_min	binder_iptm_delta	A_heavy_contacts	B_heavy_contacts	A_bbheavy_contacts	B_bbheavy_contacts	AC_bb_min	BC_bb_min	AC_heavy_min	BC_heavy_min
d1_s3	candidate	96	96	37	0.4881	0.459	0.462	0.4605	0.459	0.0030000000000000027	10	7	10	7	2.410519623338504	3.6564152108998784	2.410519623338504	2.5506271141427166
d2_s0	candidate	96	96	51	0.2162	0.2191	0.3398	0.27945	0.2191	0.1207	10	10	6	6	3.314437414011615	2.826552501175239	2.582779105576008	2.1983220327558928
d2_s1	candidate	96	96	51	0.1919	0.2231	0.1682	0.19565	0.1682	0.054900000000000004	13	11	9	6	4.670415515261999	5.310888442454803	1.8249838635450992	2.636785459342492
d6_s7	negative	96	96	38	0.1272	0.2222	0.1571	0.18964999999999999	0.1571	0.06510000000000002	27	29	21	25	2.8729398242218718	2.2640227227879137	2.324151900392915	1.676016739862702
d6_s3	negative	96	96	38	0.4574	0.088	0.083	0.08549999999999999	0.083	0.0049999999999999906	12	11	6	10	4.359454670575209	4.658592535026003	2.629836821249562	2.1819985189270863
